id_commande,date_commande,id_client,ville,categorie,nom_produit,prix_unitaire,quantite,remise,cout_livraison,methode_paiement,canal_marketing,cout_marketing,statut_commande,chiffre_affaires,marge_brute,profit_net,mois,indicateur_retour,indicateur_annulation,nombre_commandes_par_client,valeur_vie_client
CMD100822,2025-12-06,C0294,Kinshasa,Mode,Produit_Mode_12,35.37,3,0.09,6.2,Paiement à la livraison,Email,0.66,Livrée,96.56,43.45,36.59,2025-12,0,0,15,3148.98
CMD100823,2025-11-08,C0113,Abidjan,Maison,Produit_Maison_4,35.82,2,0.05,9.42,Mobile Money,Email,0.74,Livrée,68.06,30.63,20.47,2025-11,0,0,12,2066.91
CMD100824,2025-11-12,C0979,Dakar,Mode,Produit_Mode_33,48.65,2,0.21,6.14,Carte,Instagram Ads,7.73,Livrée,76.87,34.59,20.72,2025-11,0,0,1,76.87
CMD100825,2025-09-27,C0351,Douala,Mode,Produit_Mode_45,60.03,2,0.08,2.17,Carte,Instagram Ads,5.41,Livrée,110.46,49.71,42.13,2025-09,0,0,15,6752.04
CMD100826,2025-11-10,C0352,Abidjan,Beauté,Produit_Beauté_25,26.54,2,0.01,5.92,Mobile Money,Influenceur,14.62,Retournée,52.55,23.65,3.11,2025-11,1,0,15,8163.61
CMD100827,2025-11-26,C0185,Abidjan,Beauté,Produit_Beauté_12,30.21,2,0.08,9.6,Virement,Email,0.56,Livrée,55.59,25.02,14.86,2025-11,0,0,14,1705.84
CMD100828,2025-11-18,C0137,Kinshasa,Électronique,Produit_Maison_24,93.9,3,0.08,4.21,Virement,Influenceur,17.19,Livrée,259.16,116.62,95.22,2025-11,0,0,15,3863.15
CMD100829,2025-08-17,C0107,Abidjan,Électronique,Produit_Maison_24,125.47,2,0.08,8.27,Virement,Influenceur,15.85,Livrée,230.86,103.89,79.77,2025-08,0,0,16,2226.85
CMD100830,2025-10-11,C0092,Dakar,Beauté,Produit_Beauté_7,20.17,1,0.24,3.81,Mobile Money,Instagram Ads,8.29,Livrée,15.33,6.9,-5.2,2025-10,0,0,18,4216.9
CMD100831,2025-09-08,C1137,Abidjan,Mode,Produit_Mode_13,23.48,2,0.2,8.51,Paiement à la livraison,Instagram Ads,13.74,Livrée,37.57,16.91,-5.34,2025-09,0,0,1,37.57
CMD100832,2025-08-07,C1512,Lomé,Mode,Produit_Mode_12,21.6,3,0.08,7.74,Carte,Google Ads,7.06,Livrée,59.62,26.83,12.03,2025-08,0,0,3,445.79
CMD100833,2025-10-16,C0322,Douala,Maison,Produit_Maison_20,123.26,2,0.06,6.4,Paiement à la livraison,Instagram Ads,11.24,Livrée,231.73,104.28,86.64,2025-10,0,0,20,3453.5
CMD100834,2025-09-03,C0290,Abidjan,Électronique,Produit_Électronique_45,519.37,1,0.07,6.28,Carte,Influenceur,8.0,Retournée,483.01,217.35,203.07,2025-09,1,0,22,4745.67
CMD100835,2025-08-11,C0130,Dakar,Beauté,Produit_Beauté_29,23.5,2,0.06,5.24,Carte,Google Ads,5.41,Livrée,44.18,19.88,9.23,2025-08,0,0,22,3128.59
CMD100836,2025-09-24,C0184,Brazzaville,Électronique,Produit_Électronique_23,608.76,3,0.05,7.07,Virement,Email,1.75,Livrée,1734.97,780.74,771.92,2025-09,0,0,21,7941.49
CMD100837,2025-07-06,C0179,Kinshasa,Beauté,Produit_Beauté_37,25.68,3,0.02,9.47,Mobile Money,Google Ads,5.78,Livrée,75.5,33.97,18.72,2025-07,0,0,17,4706.48
CMD100838,2025-11-25,C1102,Kinshasa,Mode,Produit_Mode_23,13.05,3,0.12,2.61,Virement,Instagram Ads,7.86,Livrée,34.45,15.5,5.03,2025-11,0,0,3,1333.39
CMD100839,2025-09-22,C0998,Kinshasa,Électronique,Produit_Électronique_6,396.66,2,0.1,3.45,Paiement à la livraison,Email,0.57,Livrée,713.99,321.3,317.28,2025-09,0,0,2,1570.31
CMD100840,2025-10-06,C0949,Douala,Beauté,Produit_Beauté_41,24.08,3,0.08,7.43,Mobile Money,Influenceur,19.36,Livrée,66.46,29.91,3.12,2025-10,0,0,4,850.96
CMD100841,2025-09-25,C0313,Libreville,Mode,Produit_Mode_6,59.04,3,0.27,9.41,Carte,Instagram Ads,10.12,Livrée,129.3,58.18,38.65,2025-09,0,0,23,6123.14
CMD100842,2025-08-11,C0160,Kinshasa,Mode,Produit_Mode_46,61.0,3,0.2,7.08,Virement,Google Ads,4.23,Livrée,146.4,65.88,54.57,2025-08,0,0,10,3550.73
CMD100843,2025-09-07,C0809,Abidjan,Mode,Produit_Mode_50,43.89,2,0.27,7.89,Paiement à la livraison,Instagram Ads,14.27,Livrée,64.08,28.84,6.68,2025-09,0,0,3,181.19
CMD100844,2025-10-01,C1066,Kinshasa,Mode,Produit_Mode_11,38.76,2,0.09,2.12,Paiement à la livraison,Google Ads,3.63,Livrée,70.54,31.74,25.99,2025-10,0,0,7,2345.82
CMD100845,2025-08-17,C0256,Douala,Beauté,Produit_Beauté_14,31.16,1,0.16,5.21,Carte,Instagram Ads,6.89,Livrée,26.17,11.78,-0.32,2025-08,0,0,17,1851.91
CMD100846,2025-08-12,C0048,Cotonou,Beauté,Produit_Beauté_36,29.97,2,0.09,7.5,Paiement à la livraison,Instagram Ads,12.75,Livrée,54.55,24.55,4.3,2025-08,0,0,14,2838.35
CMD100847,2025-07-14,C0203,Lomé,Mode,Produit_Mode_7,31.39,3,0.12,7.31,Carte,Instagram Ads,6.46,Livrée,82.87,37.29,23.52,2025-07,0,0,25,4286.51
CMD100848,2025-09-06,C0172,Dakar,Mode,Produit_Mode_20,21.23,1,0.07,8.77,Paiement à la livraison,Instagram Ads,9.18,Livrée,19.74,8.88,-9.07,2025-09,0,0,21,4300.01
CMD100849,2025-08-28,C0145,Kinshasa,Beauté,Produit_Beauté_9,17.18,2,0.08,7.35,Mobile Money,Google Ads,5.87,Livrée,31.61,14.22,1.0,2025-08,0,0,15,3866.26
CMD100850,2025-11-12,C0058,Kinshasa,Beauté,Produit_Beauté_21,25.62,1,0.17,4.02,Virement,Instagram Ads,13.47,Livrée,21.26,9.57,-7.92,2025-11,0,0,10,2844.32
CMD100851,2025-10-30,C0276,Kinshasa,Beauté,Produit_Beauté_9,25.69,3,0.14,5.94,Paiement à la livraison,Instagram Ads,12.13,Livrée,66.28,29.83,11.76,2025-10,0,0,17,5114.3
CMD100852,2025-12-26,C0302,Libreville,Maison,Produit_Maison_34,68.63,3,0.06,3.66,Paiement à la livraison,Influenceur,16.08,Livrée,193.54,87.09,67.35,2025-12,0,0,19,3488.19
CMD100853,2025-12-11,C0634,Kinshasa,Mode,Produit_Mode_35,28.9,3,0.28,3.39,Paiement à la livraison,Instagram Ads,10.3,Livrée,62.42,28.09,14.4,2025-12,0,0,2,76.25
CMD100854,2025-08-28,C0904,Dakar,Mode,Produit_Mode_17,59.51,3,0.24,7.21,Paiement à la livraison,Google Ads,6.76,Livrée,135.68,61.06,47.09,2025-08,0,0,3,1138.72
CMD100855,2025-08-09,C0000,Kinshasa,Maison,Produit_Maison_23,78.1,2,0.26,3.44,Mobile Money,Instagram Ads,7.96,Livrée,115.59,52.02,40.62,2025-08,0,0,19,5028.84
CMD100856,2025-09-12,C0004,Kinshasa,Beauté,Produit_Beauté_49,25.96,1,0.12,6.65,Paiement à la livraison,Instagram Ads,10.05,Livrée,22.84,10.28,-6.42,2025-09,0,0,21,6434.3
CMD100857,2025-10-31,C0392,Kinshasa,Beauté,Produit_Beauté_39,17.06,3,0.24,2.45,Virement,Instagram Ads,9.93,Livrée,38.9,17.5,5.12,2025-10,0,0,17,4904.2
CMD100858,2025-08-29,C1122,Kinshasa,Électronique,Produit_Électronique_36,339.44,3,0.03,3.88,Paiement à la livraison,Influenceur,19.98,Livrée,987.77,444.5,420.64,2025-08,0,0,4,2861.61
CMD100859,2025-10-20,C0083,Abidjan,Beauté,Produit_Beauté_25,26.02,1,0.05,8.73,Paiement à la livraison,Google Ads,4.98,Livrée,24.72,11.12,-2.59,2025-10,0,0,14,3111.74
CMD100860,2025-08-26,C0216,Abidjan,Électronique,Produit_Électronique_19,368.55,2,0.02,2.57,Virement,Email,1.63,Livrée,722.36,325.06,320.86,2025-08,0,0,18,5785.17
CMD100861,2025-12-14,C1656,Abidjan,Beauté,Produit_Beauté_5,24.05,2,0.0,2.24,Mobile Money,Google Ads,4.88,Livrée,48.1,21.64,14.52,2025-12,0,0,2,116.46
CMD100862,2025-08-16,C0056,Dakar,Maison,Produit_Maison_18,92.77,1,0.02,7.8,Paiement à la livraison,Google Ads,4.49,Livrée,90.91,40.91,28.62,2025-08,0,0,19,3991.09
CMD100863,2025-12-27,C0384,Kinshasa,Électronique,Produit_Électronique_4,410.89,2,0.23,6.5,Mobile Money,Instagram Ads,5.7,Livrée,632.77,284.75,272.55,2025-12,0,0,19,6201.99
CMD100864,2025-11-14,C0052,Kinshasa,Électronique,Produit_Électronique_46,432.67,2,0.1,7.31,Mobile Money,Instagram Ads,13.59,Livrée,778.81,350.46,329.56,2025-11,0,0,19,3073.4
CMD100865,2025-10-21,C0476,Dakar,Mode,Produit_Mode_32,43.08,1,0.16,4.26,Carte,Email,0.89,Livrée,36.19,16.29,11.14,2025-10,0,0,5,1739.31
CMD100866,2025-08-25,C0159,Abidjan,Beauté,Produit_Beauté_24,20.12,1,0.28,2.85,Paiement à la livraison,Instagram Ads,13.15,Livrée,14.49,6.52,-9.48,2025-08,0,0,20,5692.76
CMD100867,2025-10-27,C0064,Abidjan,Électronique,Produit_Électronique_4,443.5,2,0.24,6.03,Mobile Money,Instagram Ads,6.06,Livrée,674.12,303.35,291.26,2025-10,0,0,12,3836.24
CMD100868,2025-09-07,C0146,Abidjan,Mode,Produit_Mode_13,27.51,3,0.2,2.76,Mobile Money,Email,0.61,Livrée,66.02,29.71,26.34,2025-09,0,0,17,5860.29
CMD100869,2025-09-03,C1696,Brazzaville,Maison,Produit_Maison_25,141.19,1,0.17,6.36,Mobile Money,Instagram Ads,5.89,Retournée,117.19,52.74,40.49,2025-09,1,0,2,223.62
CMD100870,2025-10-22,C0017,Kinshasa,Mode,Produit_Mode_34,53.86,3,0.21,9.73,Carte,Instagram Ads,7.76,Livrée,127.65,57.44,39.95,2025-10,0,0,8,479.84
CMD100871,2025-12-18,C0968,Abidjan,Maison,Produit_Maison_21,179.18,2,0.09,9.47,Virement,Email,1.98,Livrée,326.11,146.75,135.3,2025-12,0,0,3,664.4
CMD100872,2025-08-10,C0086,Cotonou,Mode,Produit_Mode_17,17.72,1,0.2,8.29,Carte,Google Ads,4.05,Livrée,14.18,6.38,-5.96,2025-08,0,0,10,2320.52
CMD100873,2025-11-01,C0406,Kinshasa,Électronique,Produit_Électronique_43,397.8,1,0.06,7.87,Carte,Instagram Ads,9.7,Livrée,373.93,168.27,150.7,2025-11,0,0,4,2665.71
CMD100874,2025-08-25,C0483,Dakar,Mode,Produit_Mode_1,68.93,1,0.26,2.09,Virement,Influenceur,15.36,Livrée,51.01,22.95,5.5,2025-08,0,0,2,51.01
CMD100875,2025-08-12,C1197,Cotonou,Mode,Produit_Mode_1,40.7,1,0.15,4.7,Mobile Money,Google Ads,3.26,Livrée,34.6,15.57,7.61,2025-08,0,0,4,949.16
CMD100876,2025-07-11,C0353,Dakar,Beauté,Produit_Beauté_24,27.9,1,0.09,8.14,Mobile Money,Instagram Ads,9.21,Livrée,25.39,11.43,-5.92,2025-07,0,0,23,5421.42
CMD100877,2025-07-23,C0255,Abidjan,Beauté,Produit_Beauté_49,26.12,2,0.1,3.94,Virement,Google Ads,5.49,Livrée,47.02,21.16,11.73,2025-07,0,0,15,4808.7
CMD100878,2025-12-08,C0182,Kinshasa,Mode,Produit_Mode_9,30.84,2,0.14,8.87,Carte,Email,0.53,Livrée,53.04,23.87,14.47,2025-12,0,0,20,5442.67
CMD100879,2025-11-02,C0285,Abidjan,Mode,Produit_Mode_29,47.59,3,0.3,3.52,Virement,Instagram Ads,13.6,Livrée,99.94,44.97,27.85,2025-11,0,0,14,3295.14
CMD100880,2025-08-19,C0193,Kinshasa,Mode,Produit_Mode_17,61.7,2,0.25,8.75,Mobile Money,Email,0.85,Livrée,92.55,41.65,32.05,2025-08,0,0,22,6024.37
CMD100881,2025-07-11,C0224,Abidjan,Beauté,Produit_Beauté_13,19.71,1,0.1,5.87,Paiement à la livraison,Instagram Ads,14.36,Livrée,17.74,7.98,-12.25,2025-07,0,0,13,3907.85
CMD100882,2025-11-23,C0178,Abidjan,Beauté,Produit_Beauté_18,22.43,1,0.08,9.64,Paiement à la livraison,Email,0.98,Livrée,20.64,9.29,-1.33,2025-11,0,0,19,7017.58
CMD100883,2025-12-01,C1135,Dakar,Mode,Produit_Mode_29,25.68,2,0.28,8.96,Mobile Money,Instagram Ads,14.17,Livrée,36.98,16.64,-6.49,2025-12,0,0,4,1523.95
CMD100884,2025-09-14,C1109,Dakar,Mode,Produit_Mode_50,64.05,2,0.16,6.64,Carte,Google Ads,3.8,Livrée,107.6,48.42,37.98,2025-09,0,0,6,1084.67
CMD100885,2025-12-11,C0375,Kinshasa,Maison,Produit_Maison_40,48.47,3,0.03,9.7,Carte,Email,0.61,Livrée,141.05,63.47,53.16,2025-12,0,0,19,2891.19
CMD100886,2025-10-02,C0489,Abidjan,Mode,Produit_Mode_43,31.64,3,0.26,6.26,Carte,Instagram Ads,9.27,Livrée,70.24,31.61,16.08,2025-10,0,0,2,286.84
CMD100887,2025-11-15,C0388,Lomé,Maison,Produit_Maison_50,107.15,1,0.07,8.92,Paiement à la livraison,Email,1.25,Livrée,99.65,44.84,34.67,2025-11,0,0,15,3222.14
CMD100888,2025-11-19,C0144,Kinshasa,Mode,Produit_Mode_8,38.61,2,0.17,8.16,Virement,Email,0.91,Livrée,64.09,28.84,19.77,2025-11,0,0,19,4377.95
CMD100889,2025-07-25,C0034,Dakar,Mode,Produit_Mode_12,22.15,1,0.09,5.66,Mobile Money,Instagram Ads,8.37,Retournée,20.16,9.07,-4.96,2025-07,1,0,12,2223.78
CMD100890,2025-07-09,C0248,Cotonou,Électronique,Produit_Électronique_37,506.62,3,0.07,2.26,Carte,Google Ads,6.19,Livrée,1413.47,636.06,627.61,2025-07,0,0,18,6660.07
CMD100891,2025-12-12,C1347,Dakar,Maison,Produit_Maison_4,100.44,3,0.08,2.85,Virement,Google Ads,7.66,Livrée,277.21,124.74,114.23,2025-12,0,0,3,823.71
CMD100892,2025-10-02,C0367,Lomé,Mode,Produit_Mode_42,29.1,2,0.07,7.26,Mobile Money,Instagram Ads,11.4,Livrée,54.13,24.36,5.7,2025-10,0,0,20,6499.87
CMD100893,2025-11-03,C1704,Abidjan,Maison,Produit_Maison_24,84.9,2,0.24,3.48,Carte,Instagram Ads,7.67,Livrée,129.05,58.07,46.92,2025-11,0,0,6,2469.92
CMD100894,2025-11-20,C1823,Douala,Beauté,Produit_Beauté_40,11.46,1,0.01,2.76,Carte,Email,0.56,Livrée,11.35,5.11,1.79,2025-11,0,0,3,881.87
CMD100895,2025-09-07,C0375,Dakar,Beauté,Produit_Beauté_5,25.8,2,0.11,6.59,Virement,Instagram Ads,10.17,Livrée,45.92,20.66,3.9,2025-09,0,0,19,2891.19
CMD100896,2025-08-25,C0198,Dakar,Maison,Produit_Maison_35,148.38,2,0.1,4.05,Mobile Money,Google Ads,5.15,Livrée,267.08,120.19,110.99,2025-08,0,0,17,2834.84
CMD100897,2025-10-07,C0269,Kinshasa,Mode,Produit_Mode_36,37.89,1,0.26,6.77,Mobile Money,Instagram Ads,7.52,Livrée,28.04,12.62,-1.67,2025-10,0,0,19,6347.83
CMD100898,2025-11-20,C0054,Abidjan,Mode,Produit_Mode_44,59.5,2,0.17,5.18,Virement,Influenceur,13.2,Livrée,98.77,44.45,26.07,2025-11,0,0,23,8460.0
CMD100899,2025-10-26,C0874,Kinshasa,Mode,Produit_Mode_12,18.98,3,0.09,3.96,Mobile Money,Influenceur,18.24,Livrée,51.82,23.32,1.12,2025-10,0,0,1,51.82
CMD100900,2025-11-18,C0172,Lomé,Maison,Produit_Maison_23,161.6,1,0.01,6.22,Paiement à la livraison,Google Ads,3.22,Livrée,159.98,71.99,62.55,2025-11,0,0,21,4300.01
CMD100901,2025-09-19,C0166,Cotonou,Beauté,Produit_Beauté_49,16.85,3,0.01,6.17,Paiement à la livraison,Email,1.0,Livrée,50.04,22.52,15.35,2025-09,0,0,17,3432.4
CMD100902,2025-12-10,C0371,Lomé,Maison,Produit_Maison_37,66.38,1,0.24,4.09,Mobile Money,Instagram Ads,7.05,Livrée,50.45,22.7,11.56,2025-12,0,0,22,6532.17
CMD100903,2025-11-17,C0392,Abidjan,Électronique,Produit_Mode_24,35.2,3,0.1,2.44,Virement,Google Ads,4.83,Livrée,95.04,42.77,35.5,2025-11,0,0,17,4904.2
CMD100904,2025-10-24,C0203,Cotonou,Beauté,Produit_Beauté_19,20.82,3,0.1,9.75,Carte,Instagram Ads,14.91,Retournée,56.21,25.29,0.63,2025-10,1,0,25,4286.51
CMD100905,2025-11-30,C0069,Kinshasa,Beauté,Produit_Beauté_1,29.02,1,0.06,5.13,Virement,Instagram Ads,8.73,Livrée,27.28,12.28,-1.58,2025-11,0,0,20,5977.36
CMD100906,2025-09-15,C0439,Kinshasa,Beauté,Produit_Beauté_50,30.14,2,0.05,9.26,Carte,Google Ads,7.74,Livrée,57.27,25.77,8.77,2025-09,0,0,6,1358.42
CMD100907,2025-12-24,C1882,Douala,Mode,Produit_Mode_7,35.95,1,0.2,8.68,Mobile Money,Google Ads,5.23,Livrée,28.76,12.94,-0.97,2025-12,0,0,4,917.44
CMD100908,2025-07-10,C0079,Lomé,Maison,Produit_Maison_38,111.21,3,0.04,7.42,Virement,Influenceur,17.18,Livrée,320.28,144.13,119.53,2025-07,0,0,18,4752.06
CMD100909,2025-09-02,C0153,Kinshasa,Électronique,Produit_Électronique_37,361.6,1,0.11,6.1,Paiement à la livraison,Instagram Ads,8.31,Retournée,321.82,144.82,130.41,2025-09,1,0,18,2399.27
CMD100910,2025-08-25,C1481,Abidjan,Beauté,Produit_Beauté_12,19.51,3,0.08,5.87,Paiement à la livraison,Google Ads,5.94,Livrée,53.85,24.23,12.42,2025-08,0,0,1,53.85
CMD100911,2025-11-02,C1412,Douala,Beauté,Produit_Beauté_39,20.91,1,0.01,9.66,Carte,Google Ads,3.33,Livrée,20.7,9.32,-3.67,2025-11,0,0,3,418.96
CMD100912,2025-12-12,C0374,Abidjan,Électronique,Produit_Électronique_6,392.36,1,0.2,9.63,Paiement à la livraison,Instagram Ads,6.24,Livrée,313.89,141.25,125.38,2025-12,0,0,11,1610.8
CMD100913,2025-07-15,C0684,Kinshasa,Mode,Produit_Mode_27,19.57,3,0.06,8.55,Paiement à la livraison,Instagram Ads,13.16,Livrée,55.19,24.84,3.13,2025-07,0,0,4,239.05
CMD100914,2025-07-31,C0464,Cotonou,Électronique,Produit_Électronique_41,239.19,3,0.02,9.51,Carte,Google Ads,7.67,Livrée,703.22,316.45,299.27,2025-07,0,0,2,1900.89
CMD100915,2025-12-09,C0156,Kinshasa,Mode,Produit_Mode_35,32.71,1,0.23,2.06,Virement,Influenceur,4.23,Livrée,25.19,11.34,5.05,2025-12,0,0,23,7029.91
CMD100916,2025-11-22,C0257,Kinshasa,Électronique,Produit_Électronique_4,310.12,3,0.0,7.23,Mobile Money,Influenceur,18.28,Livrée,930.36,418.66,393.15,2025-11,0,0,17,3129.71
CMD100917,2025-12-20,C0804,Kinshasa,Beauté,Produit_Beauté_15,20.55,1,0.06,8.16,Carte,Influenceur,8.98,Livrée,19.32,8.69,-8.45,2025-12,0,0,1,19.32
CMD100918,2025-10-19,C0201,Douala,Maison,Produit_Maison_37,156.37,3,0.02,5.68,Paiement à la livraison,Google Ads,7.93,Livrée,459.73,206.88,193.27,2025-10,0,0,16,5796.51
CMD100919,2025-07-13,C0134,Abidjan,Maison,Produit_Maison_50,60.81,2,0.1,2.97,Paiement à la livraison,Instagram Ads,13.21,Livrée,109.46,49.26,33.08,2025-07,0,0,22,6434.85
CMD100920,2025-12-26,C0069,Dakar,Beauté,Produit_Beauté_32,12.31,1,0.09,4.7,Mobile Money,Google Ads,3.96,Livrée,11.2,5.04,-3.62,2025-12,0,0,20,5977.36
CMD100921,2025-10-10,C0401,Douala,Électronique,Produit_Électronique_16,364.99,2,0.01,5.98,Mobile Money,Email,1.38,Livrée,722.68,325.21,317.85,2025-10,0,0,2,1039.13
CMD100922,2025-07-19,C0220,Dakar,Électronique,Produit_Électronique_8,324.34,3,0.21,9.72,Carte,Instagram Ads,8.12,Livrée,768.69,345.91,328.07,2025-07,0,0,15,5145.66
CMD100923,2025-12-19,C0187,Abidjan,Mode,Produit_Mode_23,64.56,1,0.09,7.62,Virement,Instagram Ads,14.72,Livrée,58.75,26.44,4.1,2025-12,0,0,15,6033.59
CMD100924,2025-11-30,C1576,Abidjan,Électronique,Produit_Électronique_40,158.45,1,0.06,7.35,Virement,Email,0.54,Livrée,148.94,67.02,59.13,2025-11,0,0,1,148.94
CMD100925,2025-10-22,C0902,Kinshasa,Beauté,Produit_Beauté_13,26.06,1,0.0,8.57,Mobile Money,Google Ads,6.59,Livrée,26.06,11.73,-3.43,2025-10,0,0,3,342.88
CMD100926,2025-12-23,C0387,Cotonou,Mode,Produit_Mode_8,64.58,3,0.08,8.62,Carte,Instagram Ads,9.4,Livrée,178.24,80.21,62.19,2025-12,0,0,16,3613.06
CMD100927,2025-07-14,C0317,Kinshasa,Beauté,Produit_Beauté_1,32.26,3,0.17,8.27,Virement,Instagram Ads,14.25,Livrée,80.33,36.15,13.63,2025-07,0,0,13,1737.37
CMD100928,2025-09-26,C0227,Cotonou,Mode,Produit_Mode_2,53.37,3,0.17,5.47,Paiement à la livraison,Email,1.31,Livrée,132.89,59.8,53.02,2025-09,0,0,18,3544.98
CMD100929,2025-09-23,C0275,Douala,Électronique,Produit_Électronique_36,370.1,1,0.05,4.76,Virement,Google Ads,3.63,Livrée,351.6,158.22,149.83,2025-09,0,0,15,4010.28
CMD100930,2025-11-01,C0289,Douala,Mode,Produit_Mode_38,22.87,1,0.16,5.52,Paiement à la livraison,Email,1.31,Livrée,19.21,8.64,1.81,2025-11,0,0,14,5165.91
CMD100931,2025-12-17,C0130,Abidjan,Mode,Produit_Mode_13,40.9,2,0.14,3.36,Virement,Instagram Ads,11.4,Livrée,70.35,31.66,16.9,2025-12,0,0,22,3128.59
CMD100932,2025-12-26,C0108,Dakar,Électronique,Produit_Électronique_5,368.75,3,0.1,3.69,Carte,Google Ads,6.58,Livrée,995.62,448.03,437.76,2025-12,0,0,20,5690.27
CMD100933,2025-10-08,C1357,Abidjan,Maison,Produit_Maison_7,134.82,1,0.06,7.45,Virement,Google Ads,5.53,Livrée,126.73,57.03,44.05,2025-10,0,0,3,740.2
CMD100934,2025-07-05,C0332,Cotonou,Maison,Produit_Maison_33,69.13,1,0.22,6.36,Paiement à la livraison,Instagram Ads,12.25,Livrée,53.92,24.26,5.65,2025-07,0,0,19,4742.68
CMD100935,2025-12-29,C0161,Lomé,Maison,Produit_Maison_12,120.35,1,0.04,9.75,Carte,Email,1.38,Livrée,115.54,51.99,40.86,2025-12,0,0,21,4764.33
CMD100936,2025-08-20,C0234,Abidjan,Électronique,Produit_Électronique_3,366.03,3,0.02,3.28,Carte,Email,0.98,Livrée,1076.13,484.26,480.0,2025-08,0,0,22,5856.39
CMD100937,2025-09-02,C0624,Brazzaville,Beauté,Produit_Beauté_48,24.62,2,0.03,6.7,Paiement à la livraison,Google Ads,7.68,Livrée,47.76,21.49,7.11,2025-09,0,0,1,47.76
CMD100938,2025-08-10,C0350,Kinshasa,Mode,Produit_Mode_16,43.73,3,0.23,2.43,Virement,Email,0.63,Livrée,101.02,45.46,42.4,2025-08,0,0,18,5809.3
CMD100939,2025-11-06,C0031,Lomé,Mode,Produit_Mode_2,31.45,3,0.1,8.64,Paiement à la livraison,Email,1.88,Livrée,84.92,38.21,27.69,2025-11,0,0,17,3896.07
CMD100940,2025-11-20,C0461,Abidjan,Mode,Produit_Mode_43,13.65,1,0.22,7.34,Paiement à la livraison,Google Ads,3.82,Livrée,10.65,4.79,-6.37,2025-11,0,0,2,68.51
CMD100941,2025-08-05,C0195,Dakar,Électronique,Produit_Électronique_27,247.72,3,0.22,2.36,Mobile Money,Instagram Ads,9.84,Livrée,579.66,260.85,248.65,2025-08,0,0,19,4920.7
CMD100942,2025-08-31,C0218,Libreville,Beauté,Produit_Beauté_29,23.38,2,0.23,5.34,Virement,Instagram Ads,5.04,Livrée,36.01,16.2,5.82,2025-08,0,0,16,5131.57
CMD100943,2025-11-16,C0334,Libreville,Électronique,Produit_Mode_9,42.62,1,0.29,5.38,Mobile Money,Instagram Ads,9.27,Livrée,30.26,13.62,-1.03,2025-11,0,0,21,4883.08
CMD100944,2025-09-18,C1840,Abidjan,Beauté,Produit_Beauté_28,36.15,3,0.1,4.83,Mobile Money,Instagram Ads,8.01,Livrée,97.6,43.92,31.08,2025-09,0,0,1,97.6
CMD100945,2025-08-07,C1156,Kinshasa,Mode,Produit_Mode_5,34.34,3,0.3,9.75,Virement,Influenceur,15.83,Livrée,72.11,32.45,6.87,2025-08,0,0,3,1536.82
CMD100946,2025-11-20,C0368,Lomé,Mode,Produit_Mode_10,88.13,1,0.08,5.02,Virement,Google Ads,3.36,Livrée,81.08,36.49,28.11,2025-11,0,0,30,6126.18
CMD100947,2025-07-08,C1802,Dakar,Électronique,Produit_Électronique_20,302.78,2,0.01,4.77,Paiement à la livraison,Email,1.07,Livrée,599.5,269.77,263.93,2025-07,0,0,2,640.79
CMD100948,2025-10-22,C1682,Lomé,Mode,Produit_Mode_10,20.38,3,0.21,8.84,Virement,Email,0.86,Livrée,48.3,21.73,12.03,2025-10,0,0,1,48.3
CMD100949,2025-08-18,C0094,Abidjan,Beauté,Produit_Beauté_39,26.81,3,0.02,9.09,Virement,Influenceur,18.29,Retournée,78.82,35.47,8.09,2025-08,1,0,18,4022.01
CMD100950,2025-11-23,C1221,Dakar,Beauté,Produit_Beauté_23,19.89,2,0.15,6.87,Carte,Instagram Ads,9.23,Livrée,33.81,15.21,-0.89,2025-11,0,0,5,1489.67
CMD100951,2025-07-21,C0976,Dakar,Mode,Produit_Mode_46,40.97,3,0.12,8.28,Paiement à la livraison,Instagram Ads,10.91,Livrée,108.16,48.67,29.48,2025-07,0,0,4,460.66
CMD100952,2025-12-14,C0198,Abidjan,Électronique,Produit_Électronique_11,339.2,3,0.05,4.34,Mobile Money,Google Ads,6.73,Livrée,966.72,435.02,423.95,2025-12,0,0,17,2834.84
CMD100953,2025-08-19,C0209,Dakar,Mode,Produit_Mode_18,43.6,3,0.26,9.26,Carte,Instagram Ads,6.53,Livrée,96.79,43.56,27.77,2025-08,0,0,15,6076.34
CMD100954,2025-10-14,C0343,Abidjan,Mode,Produit_Mode_5,41.35,3,0.28,4.04,Mobile Money,Google Ads,3.77,Livrée,89.32,40.19,32.38,2025-10,0,0,17,4355.04
CMD100955,2025-08-15,C0899,Libreville,Mode,Produit_Mode_45,40.78,3,0.23,5.67,Paiement à la livraison,Influenceur,17.03,Livrée,94.2,42.39,19.69,2025-08,0,0,2,94.2
CMD100956,2025-09-22,C1817,Abidjan,Électronique,Produit_Électronique_50,402.4,1,0.0,3.43,Paiement à la livraison,Email,1.28,Livrée,402.4,181.08,176.37,2025-09,0,0,6,1828.57
CMD100957,2025-07-11,C1688,Kinshasa,Électronique,Produit_Électronique_26,352.02,2,0.09,4.36,Virement,Email,0.7,Livrée,640.68,288.31,283.25,2025-07,0,0,4,858.35
